Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals
1974-08-17,Birmingham City,Middlesbrough,0,3
1974-08-17,Stoke City,Leeds United,3,0
1974-08-17,Sheffield United,Queens Park Rangers,1,1
1974-08-17,Newcastle United,Coventry City,3,2
1974-08-17,Manchester City,West Ham United,4,0
1974-08-17,Luton Town,Liverpool,1,2
1974-08-17,Leicester City,Arsenal,0,1
1974-08-17,Everton,Derby County,0,0
1974-08-17,Chelsea,Carlisle United,0,2
1974-08-17,Burnley,Wolverhampton Wanderers,1,2
1974-08-17,Tottenham Hotspur,Ipswich Town,0,1
1974-08-20,West Ham United,Luton Town,2,0
1974-08-20,Wolverhampton Wanderers,Liverpool,0,0
1974-08-20,Middlesbrough,Carlisle United,0,2
1974-08-20,Everton,Stoke City,2,1
1974-08-20,Birmingham City,Leicester City,3,4
1974-08-20,Arsenal,Ipswich Town,0,1
1974-08-20,Chelsea,Burnley,3,3
1974-08-20,Derby County,Coventry City,1,1
1974-08-20,Leeds United,Queens Park Rangers,0,1
1974-08-20,Manchester City,Tottenham Hotspur,1,0
1974-08-20,Newcastle United,Sheffield United,2,2
1974-08-24,Arsenal,Manchester City,4,0
1974-08-24,West Ham United,Everton,2,3
1974-08-24,Queens Park Rangers,Stoke City,0,1
1974-08-24,Middlesbrough,Luton Town,1,1
1974-08-24,Liverpool,Leicester City,2,1
1974-08-24,Leeds United,Birmingham City,1,0
1974-08-24,Ipswich Town,Burnley,2,0
1974-08-24,Derby County,Sheffield United,2,0
1974-08-24,Coventry City,Chelsea,1,3
1974-08-24,Carlisle United,Tottenham Hotspur,1,0
1974-08-24,Wolverhampton Wanderers,Newcastle United,4,2
1974-08-28,Burnley,Chelsea,1,2
1974-08-28,Sheffield United,Newcastle United,2,1
1974-08-28,Queens Park Rangers,Leeds United,1,1
1974-08-28,Liverpool,Wolverhampton Wanderers,2,0
1974-08-28,Ipswich Town,Arsenal,3,0
1974-08-28,Coventry City,Derby County,1,1
1974-08-28,Carlisle United,Middlesbrough,0,1
1974-08-28,Leicester City,Birmingham City,1,1
1974-08-28,Luton Town,West Ham United,0,0
1974-08-28,Stoke City,Everton,1,1
1974-08-28,Tottenham Hotspur,Manchester City,1,2
1974-08-31,Birmingham City,Wolverhampton Wanderers,1,1
1974-08-31,Stoke City,Middlesbrough,1,1
1974-08-31,Sheffield United,Ipswich Town,3,1
1974-08-31,Newcastle United,West Ham United,2,0
1974-08-31,Manchester City,Leeds United,2,1
1974-08-31,Luton Town,Queens Park Rangers,1,1
1974-08-31,Leicester City,Carlisle United,1,1
1974-08-31,Everton,Arsenal,2,1
1974-08-31,Chelsea,Liverpool,0,3
1974-08-31,Burnley,Coventry City,3,0
1974-08-31,Tottenham Hotspur,Derby County,2,0
1974-09-07,Arsenal,Burnley,0,1
1974-09-07,West Ham United,Sheffield United,1,2
1974-09-07,Queens Park Rangers,Birmingham City,0,1
1974-09-07,Middlesbrough,Chelsea,1,1
1974-09-07,Liverpool,Tottenham Hotspur,5,2
1974-09-07,Leeds United,Luton Town,1,1
1974-09-07,Ipswich Town,Everton,1,0
1974-09-07,Derby County,Newcastle United,2,2
1974-09-07,Coventry City,Manchester City,2,2
1974-09-07,Carlisle United,Stoke City,0,2
1974-09-07,Wolverhampton Wanderers,Leicester City,1,1
1974-09-14,Birmingham City,Derby County,3,2
1974-09-14,Stoke City,Coventry City,2,0
1974-09-14,Sheffield United,Middlesbrough,1,0
1974-09-14,Newcastle United,Carlisle United,1,0
1974-09-14,Manchester City,Liverpool,2,0
1974-09-14,Luton Town,Ipswich Town,1,4
1974-09-14,Leicester City,Queens Park Rangers,3,1
1974-09-14,Everton,Wolverhampton Wanderers,0,0
1974-09-14,Chelsea,Arsenal,0,0
1974-09-14,Burnley,Leeds United,2,1
1974-09-14,Tottenham Hotspur,West Ham United,2,1
1974-09-21,Arsenal,Luton Town,2,2
1974-09-21,West Ham United,Leicester City,6,2
1974-09-21,Queens Park Rangers,Newcastle United,1,2
1974-09-21,Middlesbrough,Manchester City,3,0
1974-09-21,Liverpool,Stoke City,3,0
1974-09-21,Leeds United,Sheffield United,5,1
1974-09-21,Ipswich Town,Chelsea,2,0
1974-09-21,Derby County,Burnley,3,2
1974-09-21,Coventry City,Everton,1,1
1974-09-21,Carlisle United,Birmingham City,1,0
1974-09-21,Wolverhampton Wanderers,Tottenham Hotspur,2,3
1974-09-24,Carlisle United,Manchester City,0,0
1974-09-24,Wolverhampton Wanderers,Sheffield United,1,1
1974-09-24,Queens Park Rangers,Everton,2,2
1974-09-24,Liverpool,Burnley,0,1
1974-09-24,Ipswich Town,Stoke City,3,1
1974-09-24,Coventry City,Luton Town,2,1
1974-09-24,Derby County,Chelsea,4,1
1974-09-24,West Ham United,Birmingham City,3,0
1974-09-28,Leicester City,Coventry City,0,1
1974-09-28,Newcastle United,Ipswich Town,1,0
1974-09-28,Tottenham Hotspur,Middlesbrough,1,2
1974-09-28,Birmingham City,Arsenal,3,1
1974-09-28,Stoke City,Derby County,1,1
1974-09-28,Sheffield United,Liverpool,1,0
1974-09-28,Manchester City,Queens Park Rangers,1,0
1974-09-28,Luton Town,Carlisle United,3,1
1974-09-28,Everton,Leeds United,3,2
1974-09-28,Chelsea,Wolverhampton Wanderers,0,1
1974-09-28,Burnley,West Ham United,3,5
